panel_index,item_id,split,negative_bucket,begin_s,end_s,duration_s,source_audio,model_assisted_review_label,model_assisted_confidence,visual_notes,recommended_training_use,human_review_label,human_review_confidence,human_review_notes,reviewer,reviewed_at,use_as_reviewed_background
1,ICLISTENHF6016_20250105T015000.000Z_gap_0000_0.0s_10.0s,val,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T015000.000Z.flac,needs_human_review,low,Persistent low-frequency energy and patchy tonal texture; not clean enough to promote from one contact-sheet view.,exclude_from_clean_background_gate_until_reviewed,,,,,,
2,ICLISTENHF6016_20250105T052000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T052000.000Z.flac,needs_human_review,low,Low-frequency banding plus localized mid-band texture; uncertain whether biological or environmental.,exclude_from_clean_background_gate_until_reviewed,,,,,,
3,ICLISTENHF6016_20250105T000000.000Z_gap_0000_13.1s_23.1s,train,primary_adjacent_gap,13.100000,23.100000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T000000.000Z.flac,needs_human_review,low,Strong low-frequency floor and mid-band structure; keep in review queue.,exclude_from_clean_background_gate_until_reviewed,,,,,,
4,ICLISTENHF6016_20250105T021000.000Z_gap_0000_0.0s_10.0s,val,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T021000.000Z.flac,needs_human_review,low,Patchy low-frequency energy with possible tonal fragments; needs closer inspection.,exclude_from_clean_background_gate_until_reviewed,,,,,,
5,ICLISTENHF6016_20250110T200000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250110T200000.000Z.flac,needs_human_review,low,"No obvious single downsweep, but broad structured energy and a bright low band make it uncertain.",exclude_from_clean_background_gate_until_reviewed,,,,,,
6,ICLISTENHF6016_20250105T001000.000Z_gap_0000_0.0s_10.0s,train,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T001000.000Z.flac,needs_human_review,low,Broad low-frequency energy and texture; not confidently clean.,exclude_from_clean_background_gate_until_reviewed,,,,,,
7,ICLISTENHF6016_20250105T030000.000Z_gap_0000_18.6s_28.6s,val,primary_adjacent_gap,18.600000,28.600000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T030000.000Z.flac,unlabeled_signal_suspect,medium,Localized bright blob/tonal feature in the middle of the panel; suspect acoustic event.,exclude_from_clean_background_gate,,,,,,
8,ICLISTENHF6016_20250115T040000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250115T040000.000Z.flac,needs_human_review,low,Structured low-frequency band and patchy texture; uncertain.,exclude_from_clean_background_gate_until_reviewed,,,,,,
9,ICLISTENHF6016_20250105T004000.000Z_gap_0000_0.0s_10.0s,train,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T004000.000Z.flac,needs_human_review,low,Horizontal/tonal structure near low frequencies; not clean enough from contact sheet alone.,exclude_from_clean_background_gate_until_reviewed,,,,,,
10,ICLISTENHF6016_20250105T041000.000Z_gap_0000_0.0s_10.0s,val,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T041000.000Z.flac,candidate_clean_background,medium,Mostly diffuse background with no clear localized downsweep-like event in the contact sheet.,candidate_for_human_confirmed_reviewed_background,,,,,,
